SAMPLE VELOCITY FIELD, TEXT FORMAT
       X          Y      VEL        EVEL 
      asec       asec    km/s       km/s 
-----------------------------------------
    -46.00     -4.00    563.62      1.89
    -46.00     -2.00    561.29      2.03
    -46.00      0.00    570.24      1.93
    -46.00      2.00    568.78      2.00
    -46.00      4.00    570.48      1.98
    -46.00      6.00    563.67      2.06
    -46.00      8.00    569.42      1.84
    -46.00     10.00    572.51      1.98
    -44.00     -8.00    565.05      2.09
    -44.00     -6.00    564.30      1.88
    -44.00     -4.00    567.53      2.18
    -44.00     -2.00    570.09      1.89
    -44.00      0.00    564.43      2.08
    -44.00      2.00    565.19      2.00
    -44.00      4.00    567.32      2.14
    -44.00      6.00    571.51      1.97
    -44.00      8.00    565.28      2.09
    -44.00     10.00    561.53      2.13
    -44.00     12.00    567.69      2.02
    -42.00    -10.00    559.40      1.91
    -42.00     -8.00    558.09      1.87
    -42.00     -6.00    562.16      1.96
    -42.00     -4.00    563.61      2.07
    -42.00     -2.00    565.70      1.90
    -42.00      0.00    563.84      2.08
    -42.00      2.00    564.98      1.93
    -42.00      4.00    563.18      2.02
    -42.00      6.00    568.03      1.97
    -42.00      8.00    563.68      2.02
    -42.00     10.00    570.08      2.17
    -42.00     12.00    565.74      1.87
    -42.00     14.00    562.37      2.03
    -42.00     16.00    560.77      2.06
    -40.00    -12.00    557.81      2.16
    -40.00    -10.00    559.64      1.96
    -40.00     -8.00    561.55      1.97
    -40.00     -6.00    562.15      2.19
    -40.00     -4.00    563.27      2.01
    -40.00     -2.00    562.71      1.99
    -40.00      0.00    566.68      2.04
    -40.00      2.00    565.33      2.05
    -40.00      4.00    563.36      1.88
    -40.00      6.00    564.65      1.86
    -40.00      8.00    566.35      2.09
    -40.00     10.00    561.03      2.09
    -40.00     12.00    565.80      2.04
    -40.00     14.00    560.22      1.98
    -40.00     16.00    562.00      1.94
    -38.00    -14.00    546.91      2.06
    -38.00    -12.00    556.47      2.03
    -38.00    -10.00    554.82      2.06
    -38.00     -8.00    559.05      2.10
    -38.00     -6.00    557.69      1.81
    -38.00     -4.00    564.07      1.78
    -38.00     -2.00    557.72      2.12
    -38.00      0.00    564.23      1.87
    -38.00      2.00    564.19      1.89
    -38.00      4.00    563.45      1.88
    -38.00      6.00    566.70      2.13
    -38.00      8.00    563.53      2.01
    -38.00     10.00    564.04      2.04
    -38.00     12.00    560.93      2.06
    -38.00     14.00    563.10      2.11
    -38.00     16.00    557.41      2.09
    -38.00     18.00    551.60      1.94
    -36.00    -16.00    548.38      2.14
    -36.00    -14.00    553.14      1.90
    -36.00    -12.00    552.04      2.12
    -36.00    -10.00    549.80      1.98
    -36.00     -8.00    556.94      2.00
    -36.00     -6.00    558.72      2.01
    -36.00     -4.00    558.21      1.92
    -36.00     -2.00    559.27      1.96
    -36.00      0.00    566.46      2.11
    -36.00      2.00    563.93      2.01
    -36.00      4.00    563.96      1.86
    -36.00      6.00    562.23      2.08
    -36.00      8.00    563.89      2.18
    -36.00     10.00    558.28      2.12
    -36.00     12.00    557.93      1.95
    -36.00     14.00    553.94      2.25
    -36.00     16.00    559.93      2.24
    -36.00     18.00    558.80      2.04
    -36.00     20.00    552.59      2.14
    -34.00    -16.00    545.00      1.83
    -34.00    -14.00    552.86      1.87
    -34.00    -12.00    550.04      1.94
    -34.00    -10.00    550.46      2.11
    -34.00     -8.00    550.13      1.93
    -34.00     -6.00    555.48      1.96
    -34.00     -4.00    557.76      1.89
    -34.00     -2.00    555.48      1.94
    -34.00      0.00    566.00      2.02
    -34.00      2.00    558.90      2.18
    -34.00      4.00    565.21      1.95
    -34.00      6.00    558.89      1.82
    -34.00      8.00    557.28      1.87
    -34.00     10.00    560.80      2.17
    -34.00     12.00    552.61      1.96
    -34.00     14.00    557.41      1.96
    -34.00     16.00    557.43      1.99
    -34.00     18.00    554.84      1.95
    -34.00     20.00    551.14      1.92
    -34.00     22.00    555.90      1.95
    -32.00    -18.00    541.76      2.02
    -32.00    -16.00    543.19      2.02
    -32.00    -14.00    543.57      2.19
    -32.00    -12.00    548.11      1.87
    -32.00    -10.00    551.42      2.03
